prefix,size,run,iteration,incremental.total[ms],incremental.result,incremental.sync[ms],incremental.prop[ms],incremental.timeout,standalone.total[ms],standalone.result,standalone.sync[ms],standalone.prop[ms],standalone.timeout,problog.total[ms],problog.result,problog.trafo[ms],problog.evaluation[ms],problog.timeout
SAT,20,0,0,174.767624,0.01354575065430641,28.896489000000003,68.064582,false,,,,,,301.448907,0.013545750654307,5.0444759999999995,296.404431,false
SAT,20,1,0,134.788793,0.020668463536280587,7.541313,43.779209,false,,,,,,259.721241,0.020668463536281,1.974317,257.746924,false
SAT,20,2,0,39.748833,0.028077857724982766,4.728095000000001,14.577456,false,,,,,,,,,,
SAT,20,3,0,34.259935,0.020510686675827963,3.430081,10.521308999999999,false,,,,,,,,,,
SAT,20,4,0,30.644483,0.020533361407444467,3.8855479999999996,8.503444,false,,,,,,,,,,
SAT,20,5,0,25.475088,0.013545750654306408,3.987955,3.307718,false,,,,,,,,,,
SAT,20,6,0,22.994793,0.015095851978801516,3.432576,3.056455,false,,,,,,,,,,
SAT,20,7,0,25.512036,0.02853333151390081,3.158368,5.874884,false,,,,,,,,,,
SAT,20,8,0,20.100148,0.013863528357481485,3.104825,2.251397,false,,,,,,,,,,
SAT,20,9,0,22.036238,0.02068472174067224,3.160318,3.3025569999999997,false,,,,,,,,,,
SAT,20,10,0,19.043571,0.0171913871596076,3.064571,2.882715,false,,,,,,,,,,
SAT,20,11,0,20.237024,0.017159994830521632,3.2437750000000003,2.680498,false,,,,,,,,,,
SAT,20,12,0,18.797150000000002,0.02056989527496328,3.041777,3.202935,false,,,,,,,,,,
SAT,20,13,0,20.075734,0.01705416339597184,2.816464,2.9228020000000003,false,,,,,,,,,,
SAT,20,14,0,16.995789000000002,0.01728166234649038,3.328832,2.546809,false,,,,,,,,,,
SAT,20,15,0,18.594645,0.020623773323569027,3.344913,3.084683,false,,,,,,,,,,
SAT,20,16,0,22.35848,0.020607455444455886,4.214692,3.7257779999999996,false,,,,,,,,,,
SAT,20,17,0,16.066866,0.028415060088761664,2.247336,5.21303,false,,,,,,,,,,
SAT,20,18,0,17.62,0.020695937282022014,2.796198,2.470598,false,,,,,,,,,,
SAT,20,19,0,15.640546,0.02062529051799706,2.893344,2.7244800000000002,false,,,,,,,,,,
SAT,20,20,0,17.32927,0.017011853978588606,3.503142,2.453206,false,,,,,,,,,,
