prefix,size,run,iteration,incremental.total[ms],incremental.result,incremental.sync[ms],incremental.prop[ms],incremental.timeout,standalone.total[ms],standalone.result,standalone.sync[ms],standalone.prop[ms],standalone.timeout,problog.total[ms],problog.result,problog.trafo[ms],problog.evaluation[ms],problog.timeout,storm.total[ms],storm.result,storm.trafo[ms],storm.evaluation[ms],storm.timeout,incremental.healthy,standalone.healthy
SH,100,0,0,,,,,false,,,,,,1845.600539,"{
	""valid"" : true,
	""matches"" : [
		{
			""measurement"" : ""measurement93"",
			""probability"" : 0.788185371299205
		},
		{
			""measurement"" : ""measurement42"",
			""probability"" : 0.094582244555905
		},
		{
			""measurement"" : ""measurement92"",
			""probability"" : 0.788185371299205
		},
		{
			""measurement"" : ""measurement39"",
			""probability"" : 0.788185371299205
		},
		{
			""measurement"" : ""measurement89"",
			""probability"" : 0.788185371299205
		},
		{
			""measurement"" : ""measurement90"",
			""probability"" : 0.788185371299205
		},
		{
			""measurement"" : ""measurement87"",
			""probability"" : 0.788185370518805
		},
		{
			""measurement"" : ""measurement86"",
			""probability"" : 0.770254105223441
		}
	]
}
",15.924392,1829.6761470000001,false,1542.726621,"{
	""valid"" : true,
	""matches"" : [
		{
			""measurement"" : ""measurement42"",
			""probability"" : 0.0945822445559
		},
		{
			""measurement"" : ""measurement87"",
			""probability"" : 0.7881853705188
		},
		{
			""measurement"" : ""measurement93"",
			""probability"" : 0.7881853712992
		},
		{
			""measurement"" : ""measurement89"",
			""probability"" : 0.7881853712992
		},
		{
			""measurement"" : ""measurement90"",
			""probability"" : 0.7881853712992
		},
		{
			""measurement"" : ""measurement86"",
			""probability"" : 0.7702541052234
		},
		{
			""measurement"" : ""measurement92"",
			""probability"" : 0.7881853712992
		},
		{
			""measurement"" : ""measurement39"",
			""probability"" : 0.7881853712992
		}
	]
}
",40.60185699999999,1502.1247640000001,false,,
SH,100,1,0,,,,,false,,,,,,1769.328043,"{
	""valid"" : true,
	""matches"" : [
		{
			""measurement"" : ""measurement92"",
			""probability"" : 0.788185371299205
		},
		{
			""measurement"" : ""measurement39"",
			""probability"" : 0.788185371299205
		},
		{
			""measurement"" : ""measurement42"",
			""probability"" : 0.094582244555905
		},
		{
			""measurement"" : ""measurement89"",
			""probability"" : 0.788185371299205
		},
		{
			""measurement"" : ""measurement90"",
			""probability"" : 0.788185371299205
		},
		{
			""measurement"" : ""measurement86"",
			""probability"" : 0.770254105223441
		},
		{
			""measurement"" : ""measurement87"",
			""probability"" : 0.788185370518805
		},
		{
			""measurement"" : ""measurement93"",
			""probability"" : 0.788185371299205
		}
	]
}
",8.418019000000001,1760.910024,false,1398.492462,"{
	""valid"" : true,
	""matches"" : [
		{
			""measurement"" : ""measurement92"",
			""probability"" : 0.7881853712992
		},
		{
			""measurement"" : ""measurement89"",
			""probability"" : 0.7881853712992
		},
		{
			""measurement"" : ""measurement90"",
			""probability"" : 0.7881853712992
		},
		{
			""measurement"" : ""measurement86"",
			""probability"" : 0.7702541052234
		},
		{
			""measurement"" : ""measurement39"",
			""probability"" : 0.7881853712992
		},
		{
			""measurement"" : ""measurement93"",
			""probability"" : 0.7881853712992
		},
		{
			""measurement"" : ""measurement42"",
			""probability"" : 0.0945822445559
		},
		{
			""measurement"" : ""measurement87"",
			""probability"" : 0.7881853705188
		}
	]
}
",30.322309,1368.170153,false,,
SH,100,2,0,,,,,false,,,,,,,,,,,,,,,,,
SH,100,3,0,,,,,false,,,,,,,,,,,,,,,,,
SH,100,4,0,,,,,false,,,,,,,,,,,,,,,,,
SH,100,5,0,,,,,false,,,,,,,,,,,,,,,,,
SH,100,6,0,,,,,false,,,,,,,,,,,,,,,,,
SH,100,7,0,,,,,false,,,,,,,,,,,,,,,,,
SH,100,8,0,,,,,false,,,,,,,,,,,,,,,,,
SH,100,9,0,,,,,false,,,,,,,,,,,,,,,,,
SH,100,10,0,,,,,false,,,,,,,,,,,,,,,,,
SH,100,11,0,,,,,false,,,,,,,,,,,,,,,,,
SH,100,12,0,,,,,false,,,,,,,,,,,,,,,,,
SH,100,13,0,,,,,false,,,,,,,,,,,,,,,,,
SH,100,14,0,,,,,false,,,,,,,,,,,,,,,,,
SH,100,15,0,,,,,false,,,,,,,,,,,,,,,,,
SH,100,16,0,,,,,false,,,,,,,,,,,,,,,,,
SH,100,17,0,,,,,false,,,,,,,,,,,,,,,,,
SH,100,18,0,,,,,false,,,,,,,,,,,,,,,,,
SH,100,19,0,,,,,false,,,,,,,,,,,,,,,,,
SH,100,20,0,,,,,false,,,,,,,,,,,,,,,,,
